Datetime,Leg,Team,OBR,Video,Length,People,Description,Tags
2017-10-27 14:37:59,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105182_13-01-171027-veh-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105182_13-01-171027-veh-00002_00002_480x270.jpg""))",,,,
2017-10-27 13:12:51,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105172_13-01-171027-azn-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105172_13-01-171027-azn-00004_00002_480x270.jpg""))",,,,
2017-10-27 12:41:51,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105162_13-01-171027-azn-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105162_13-01-171027-azn-00003_00002_480x270.jpg""))",,,,
2017-10-27 12:39:41,1,Team Brunel,Martin Keruzoré,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105166_13-01-171027-bnl-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105166_13-01-171027-bnl-00002_00002_480x270.jpg""))",,,,
2017-10-27 11:22:19,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105161_13-01-171027-shk-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105161_13-01-171027-shk-00001_00002_480x270.jpg""))",,,,
2017-10-27 10:57:09,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105157_13-01-171027-dfg-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105157_13-01-171027-dfg-00002_00002_480x270.jpg""))",,,,
2017-10-27 10:51:25,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105154_13-01-171027-mpf-ugf-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105154_13-01-171027-mpf-ugf-00001_00002_480x270.jpg""))",,,,
2017-10-27 10:42:11,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105153_13-01-171027-dfg-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105153_13-01-171027-dfg-00003_00002_480x270.jpg""))",,,,
2017-10-27 10:00:47,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105146_13-01-171027-veh-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105146_13-01-171027-veh-00001_00002_480x270.jpg""))",,,,
2017-10-27 09:41:53,1,Team Brunel,Martin Keruzoré,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105145_13-01-171027-bnl-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105145_13-01-171027-bnl-00001_00002_480x270.jpg""))",,,,
2017-10-27 08:28:24,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105140_13-01-171027-azn-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105140_13-01-171027-azn-00002_00002_480x270.jpg""))",,,,
2017-10-27 02:15:09,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105134_13-01-171027-azn-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105134_13-01-171027-azn-00001_00002_480x270.jpg""))",,,,
2017-10-26 19:38:39,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105123_13-01-171026-ttt-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105123_13-01-171026-ttt-00004_00002_480x270.jpg""))",,,,
2017-10-26 15:52:38,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105094_13-01-171026-mpf-ugf-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105094_13-01-171026-mpf-ugf-00003_00002_480x270.jpg""))",,,,
2017-10-26 15:34:30,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105092_13-01-171026-azn-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105092_13-01-171026-azn-00004_00002_480x270.jpg""))",,,,
2017-10-26 12:49:53,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105085_13-01-171026-shk-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105085_13-01-171026-shk-00003_00002_480x270.jpg""))",,,,
2017-10-26 12:26:57,1,Team Brunel,Martin Keruzoré,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105084_13-01-171026-bnl-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105084_13-01-171026-bnl-00001_00002_480x270.jpg""))",,,,
2017-10-26 10:51:37,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105074_13-01-171026-shk-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105074_13-01-171026-shk-00002_00002_480x270.jpg""))",,,,
2017-10-26 10:45:06,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105073_13-01-171026-mpf-ugf-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105073_13-01-171026-mpf-ugf-00002_00002_480x270.jpg""))",,,,
2017-10-26 10:13:14,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105057_13-01-171026-veh-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105057_13-01-171026-veh-00003_00002_480x270.jpg""))",,,,
2017-10-26 09:56:35,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105056_13-01-171026-azn-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105056_13-01-171026-azn-00002_00002_480x270.jpg""))",,,,
2017-10-26 09:17:14,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105052_13-01-171026-ttt-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105052_13-01-171026-ttt-00002_00002_480x270.jpg""))",,,,
